user_id	original_image	face_id	age	gender	x	y	dx	dy	tilt_ang	fiducial_yaw_angle	fiducial_score
114841417@N06	12068804204_085d553238_o.jpg	481	(60, 100)	f	1141	780	975	976	0	0	118
114841417@N06	12068804204_085d553238_o.jpg	482	(48, 53)	m	1821	283	969	969	-25	15	35
114841417@N06	12078357226_5fdd9367de_o.jpg	483	(4, 6)	f	1788	341	306	306	-10	0	168
114841417@N06	12019067874_0e988248af_o.jpg	483	(4, 6)	f	3	183	932	777	-115	0	27
114841417@N06	12077009614_2490487d2a_o.jpg	484	45	f	258	133	1734	1734	15	0	11
114841417@N06	12060557503_813b9599be_o.jpg	483	(4, 6)	f	857	1157	357	357	-90	-15	12
114841417@N06	12059865494_dace7a1325_o.jpg	485	13	f	1346	294	1001	1001	10	0	102
114841417@N06	12101458663_c5be3d6a8f_o.jpg	483	(4, 6)	f	0	1051	307	351	-110	-15	14
114841417@N06	12061744626_215481e333_o.jpg	486	(15, 20)	f	1735	729	287	287	-10	0	89
114841417@N06	12061744626_215481e333_o.jpg	487	(15, 20)	m	1321	809	261	262	-10	30	101
114841417@N06	12061744626_215481e333_o.jpg	483	(4, 6)	f	2033	852	242	242	-10	0	82
114841417@N06	12059875396_f5c3a70550_o.jpg	488	(15, 20)	f	344	1083	752	753	-85	0	103
114841417@N06	12059875396_f5c3a70550_o.jpg	485	13	f	415	444	702	701	-95	30	160
114841417@N06	12076779535_2bf0f4afbb_o.jpg	489	35	f	187	267	708	693	-95	-30	10
114841417@N06	12060036015_e7c827be8d_o.jpg	486	(15, 20)	f	210	231	544	545	-75	0	81
114841417@N06	12060036015_e7c827be8d_o.jpg	489	35	f	282	0	512	468	-115	30	114
114841417@N06	12101188123_0c9af893c9_o.jpg	490	(8, 12)	m	1399	288	733	733	170	15	95
114841417@N06	12101188123_0c9af893c9_o.jpg	485	13	f	2027	772	669	670	280	15	172
114841417@N06	12076982073_3d7cfa797b_o.jpg	491	45	m	411	688	1676	1677	-100	0	64
114841417@N06	12076982073_3d7cfa797b_o.jpg	492	(15, 20)	m	74	221	982	982	-70	0	62
114841417@N06	12101541316_35e1f0b9a1_o.jpg	493	(15, 20)	m	1216	1391	388	389	-95	0	118
114841417@N06	12101541316_35e1f0b9a1_o.jpg	490	(8, 12)	m	1370	661	357	357	-85	0	79
114841417@N06	12019308623_196c7fd19b_o.jpg	483	(4, 6)	f	1045	84	548	548	-10	30	10
114841417@N06	12095094203_507149205c_o.jpg	490	(8, 12)	m	426	84	688	688	-85	0	35
114841417@N06	12056392065_2b8d9a757a_o.jpg	489	35	f	227	0	1754	1445	-95	0	61
114841417@N06	12056392065_2b8d9a757a_o.jpg	485	13	f	258	675	1695	1696	-70	-30	44
114841417@N06	12059434533_676e110ed5_o.jpg	490	(8, 12)	m	0	334	633	626	-90	0	21
114841417@N06	12076963753_eb16e6ffd6_o.jpg	489	35	f	449	186	828	774	185	0	38
114841417@N06	12019511266_45314bb42b_o.jpg	485	13	f	639	871	637	638	-85	0	91
114841417@N06	12059995593_632d96aca7_o.jpg	485	13	f	242	300	412	412	-100	0	88
114841417@N06	12061403516_dac4f79269_o.jpg	483	(4, 6)	f	874	1031	440	440	-90	30	7
114841417@N06	12101763726_1d11b44823_o.jpg	494	23	f	2218	772	542	542	5	0	89
114841417@N06	12101763726_1d11b44823_o.jpg	485	13	f	1566	790	529	529	-15	0	104
114841417@N06	12077824396_e5c732d4fe_o.jpg	495	(60, 100)	m	556	1110	969	969	5	-45	40
114841417@N06	12077824396_e5c732d4fe_o.jpg	491	45	m	1778	865	829	829	-10	0	101
114841417@N06	12077824396_e5c732d4fe_o.jpg	482	(48, 53)	m	1437	0	644	583	10	0	72
114841417@N06	12085238366_58ba30f728_o.jpg	496	(60, 100)	m	1931	954	523	523	10	0	35
114841417@N06	12085238366_58ba30f728_o.jpg	489	35	f	933	967	491	491	-5	0	76
114841417@N06	12085238366_58ba30f728_o.jpg	485	13	f	1606	865	472	472	15	0	85
114841417@N06	12085238366_58ba30f728_o.jpg	497	(60, 100)	m	1235	825	433	434	0	0	103
114841417@N06	12085238366_58ba30f728_o.jpg	490	(8, 12)	m	922	619	421	421	0	0	11
114841417@N06	12085238366_58ba30f728_o.jpg	483	(4, 6)	f	1035	1391	364	363	-20	0	185
114841417@N06	12069040936_d7151fe554_o.jpg	490	(8, 12)	m	1447	1282	293	294	-100	0	48
114841417@N06	12059693375_1589856c5c_o.jpg	485	13	f	194	350	384	385	-110	0	101
114841417@N06	12100941273_27b1983bc5_o.jpg	491	45	m	468	1343	567	567	-75	0	45
114841417@N06	12100941273_27b1983bc5_o.jpg	489	35	f	669	247	465	465	-115	15	143
114841417@N06	12100941273_27b1983bc5_o.jpg	485	13	f	667	945	453	452	-90	0	104
114841417@N06	12100941273_27b1983bc5_o.jpg	490	(8, 12)	m	882	519	440	440	-95	0	24
114841417@N06	12100941273_27b1983bc5_o.jpg	483	(4, 6)	f	576	1794	396	395	-80	-45	94
114841417@N06	12068389725_e7fceb07b5_o.jpg	498	(15, 20)	m	433	844	414	415	5	-30	58
114841417@N06	12068389725_e7fceb07b5_o.jpg	485	13	f	2521	455	325	325	-5	0	107
114841417@N06	12057283526_2f20850067_o.jpg	485	13	f	232	675	1906	1773	-75	0	106
114841417@N06	12059528404_ce81d8c54c_o.jpg	490	(8, 12)	m	25	612	1224	1224	-75	15	47
114841417@N06	12101336615_ed6abcf553_o.jpg	485	13	f	1224	0	1224	1019	-80	-15	7
114841417@N06	12059026465_f53af5eb4c_o.jpg	489	35	f	65	237	1689	1689	-95	30	179
114841417@N06	12076977633_f00a8739ee_o.jpg	489	35	f	1222	430	338	338	-5	0	35
114841417@N06	12076971923_c1faf4bb8f_o.jpg	492	(15, 20)	m	336	548	529	529	-100	30	102
114841417@N06	12076971923_c1faf4bb8f_o.jpg	494	23	f	637	1282	472	472	-85	0	71
114841417@N06	12076971923_c1faf4bb8f_o.jpg	489	35	f	494	1050	452	452	-105	15	149
114841417@N06	12076985243_f1a977c408_o.jpg	492	(15, 20)	m	25	25	1224	1224	-70	0	19
114841417@N06	12069382666_2205b9a25a_o.jpg	486	(15, 20)	f	337	0	791	678	-95	30	35
114841417@N06	12101504006_7b0826b477_o.jpg	483	(4, 6)	f	1934	1168	689	688	20	0	111
114841417@N06	12101403066_31aa51b821_o.jpg	491	45	m	854	744	778	778	-95	0	47
114841417@N06	12059753735_7141b5443c_o.jpg	485	13	f	40	276	672	672	-95	-30	56
114841417@N06	12059753735_7141b5443c_o.jpg	489	35	f	393	157	228	228	-110	30	48
114841417@N06	12056288565_4ff3a6f7f8_o.jpg	485	13	f	0	247	2293	2201	-100	0	143
114841417@N06	12075259406_47d15194dd_o.jpg	491	45	m	1660	283	1604	1938	-25	30	57
114841417@N06	12069030836_6b34aa1803_o.jpg	481	(60, 100)	f	1002	1027	963	963	-95	0	118
114841417@N06	12069030836_6b34aa1803_o.jpg	482	(48, 53)	m	510	438	905	905	-100	15	122
114841417@N06	12035582654_02aa2bb467_o.jpg	491	45	m	283	868	1167	1167	-85	0	92
114841417@N06	12078670373_4253fda761_o.jpg	483	(4, 6)	f	1432	4	306	306	-5	0	163
114841417@N06	12077584125_99b4f07a96_o.jpg	483	(4, 6)	f	2177	863	541	542	-105	45	9
114841417@N06	12101268534_eb33b269c4_o.jpg	490	(8, 12)	m	146	972	242	242	-75	-30	10
114841417@N06	12078187746_6f26a262b1_o.jpg	489	35	f	981	97	1059	1058	10	0	113
114841417@N06	12101664454_bd06b1358c_o.jpg	499	(15, 20)	f	983	1665	248	249	-100	0	117
114841417@N06	12086568994_7de441924a_o.jpg	485	13	f	1496	1094	268	268	0	0	110
114841417@N06	12086568994_7de441924a_o.jpg	497	(60, 100)	m	1611	795	268	268	0	30	55
114841417@N06	12086568994_7de441924a_o.jpg	493	(15, 20)	m	1930	876	261	261	-5	0	82
114841417@N06	12086568994_7de441924a_o.jpg	492	(15, 20)	m	1402	739	255	255	-5	0	88
114841417@N06	12086568994_7de441924a_o.jpg	491	45	m	1176	758	248	249	5	0	14
